,Unnamed: 0.1,Unnamed: 0,uid,text
0,0,0,GIx57eZ4R0M--0,Last Monday for Saturdays
1,1,1,MjFpCgFgt1A--0,Sponge Sheep
2,2,2,A2VCUgPweiU--1,Page Number 98
3,3,3,A2VCUgPweiU--2,How Fa Xian returned to China?
4,4,4,A2VCUgPweiU--3,Fa Xian began his journey back home from Bengal.
5,5,5,A2VCUgPweiU--4,He boarded a ship belonging to some merchants.
6,6,6,A2VCUgPweiU--5,They had barely traveled for two days when they were caught in a storm.
7,7,7,A2VCUgPweiU--6,The merchants began throwing their merchandise overboard.
8,8,8,A2VCUgPweiU--7,So as to lighten the load and save the ship from sinking.
9,9,9,A2VCUgPweiU--8, Fa Xian threw away meager personal belongings.
10,10,10,A2VCUgPweiU--9,But clung to his books.
11,11,11,A2VCUgPweiU--100,Bhaj.meaning
12,12,12,A2VCUgPweiU--101,to divide or share.
13,13,13,A2VCUgPweiU--102," This suggests an intimate, two-way relationship between the deity and the devotee."
14,14,14,A2VCUgPweiU--103,Bhakti is directed towards Bhagwat.
15,15,15,A2VCUgPweiU--104,which is often translated as God.
16,16,16,A2VCUgPweiU--105,but also means one who possesses and shares Bhak.
17,17,17,A2VCUgPweiU--106," Literally good fortune or bliss, the devotee."
18,18,18,A2VCUgPweiU--107," Now, as the bhakt, or the bhagvat."
19,19,19,A2VCUgPweiU--200,performed by people in India today. Find out.
20,20,20,A2VCUgPweiU--201,about any one of them and write a short description. This is either in time or in time.
21,21,21,A2VCUgPweiU--202,Who can go on the pilgrimage? Men
22,22,22,A2VCUgPweiU--203,Women or childern
23,23,23,A2VCUgPweiU--204,How long does it take?
24,24,24,A2VCUgPweiU--205,How do people travel? What do they take with them?
25,25,25,A2VCUgPweiU--206,What do they do when they reach the holy place?
26,26,26,A2VCUgPweiU--207,Do they bring anything back with them?
27,27,27,TYbsjtUmRmQ--0,Class sixth
28,28,28,TYbsjtUmRmQ--1,Entitled our Past
29,29,29,TYbsjtUmRmQ--2,1.  Page number
30,30,30,TYbsjtUmRmQ--3,57
31,31,31,TYbsjtUmRmQ--4,Chapter number six.
32,32,32,TYbsjtUmRmQ--5," Title, New Questions"
33,33,33,TYbsjtUmRmQ--6,and ideas.
34,34,34,TYbsjtUmRmQ--7,Anagha's
35,35,35,TYbsjtUmRmQ--8,School Trip
36,36,36,TYbsjtUmRmQ--9,This was the first time Anagha was going...
37,37,37,TYbsjtUmRmQ--100,and I will bring your child back to life.
38,38,38,TYbsjtUmRmQ--101,Kisargothami was overjoyed and started off at once.
39,39,39,TYbsjtUmRmQ--102," Buddha, gently stopped her."
40,40,40,TYbsjtUmRmQ--103,and added.
41,41,41,TYbsjtUmRmQ--104,The seeds must come from the house of a family.
42,42,42,TYbsjtUmRmQ--105,where nobody has died.
43,43,43,TYbsjtUmRmQ--106,"Kisagotami, went from door to door. But wherever she went..."
44,44,44,TYbsjtUmRmQ--107,She found out that someone or the other father.
45,45,45,TYbsjtUmRmQ--200,who was famous for her learning.
46,46,46,TYbsjtUmRmQ--201,and participated in debates held in royal courts.
47,47,47,TYbsjtUmRmQ--203,who are people rarely took part in these discussions.
48,48,48,TYbsjtUmRmQ--204,One famous exception was Satyakam Jabal.
49,49,49,TYbsjtUmRmQ--205," who was named after his mother, the slave woman."
50,50,50,TYbsjtUmRmQ--206,Jabali
51,51,51,TYbsjtUmRmQ--207,He had a deep desire to learn about reality. He was accepted.
52,52,52,S5iuebvtDu0--0,One Past or Many
53,53,53,S5iuebvtDu0--1,You
54,54,54,S5iuebvtDu0--2,Did you notice the title of this book?
55,55,55,S5iuebvtDu0--3,Art Basics
56,56,56,S5iuebvtDu0--4," We have used the word, Yeah."
57,57,57,S5iuebvtDu0--5,in plural
58,58,58,S5iuebvtDu0--6,to draw attention to the fact that the past was different.
59,59,59,S5iuebvtDu0--7," for different groups of people. For example,"
60,60,60,S5iuebvtDu0--8,the lives of herders or farmers.
61,61,61,S5iuebvtDu0--9,were different from those of kings and queens.
62,62,62,S5iuebvtDu0--101,magadh
63,63,63,S5iuebvtDu0--102,Garo Hills
64,64,64,S5iuebvtDu0--103,Indus and its Tribute Reads
65,65,65,S5iuebvtDu0--105,Ganga Valley on the right hand side
66,66,66,S5iuebvtDu0--106,The following sentences are written. The first big kingdom.
67,67,67,VqlfNumk0cg--1,page 45
68,68,68,VqlfNumk0cg--2,lesson 4
69,69,69,VqlfNumk0cg--3,Before you read.
70,70,70,VqlfNumk0cg--4,in 1997 an Indian American Kalpana Chawla
71,71,71,VqlfNumk0cg--5,was part of the International Crew aboard the US Space Shuttle Columbia.
72,72,72,VqlfNumk0cg--6,becoming the first woman born in India to go into space.
73,73,73,VqlfNumk0cg--7," Sadly, the second mission in Colombia ended in tragedy."
74,74,74,VqlfNumk0cg--8,and Indian American woman in space Kalpana Chawla. One.
75,75,75,VqlfNumk0cg--9,A space shuttle is a spacecraft.
76,76,76,VqlfNumk0cg--100,had become an inspiration.
77,77,77,VqlfNumk0cg--101,in a message that she sent from aboard the space shuttle Columbia.
78,78,78,VqlfNumk0cg--102,to students of her college in Chandigarh. kalpana said
79,79,79,VqlfNumk0cg--103,The path from dreams to success does exist.
80,80,80,VqlfNumk0cg--104,May you have the vision to find it? The courage to get onto it.
81,81,81,VqlfNumk0cg--105,wishing you a great journey.
82,82,82,VqlfNumk0cg--106,There will surely be many of who start off on this journey to fulfill their dreams.
83,83,83,VqlfNumk0cg--107," Adapted from Span, January, February, 1998."
84,84,84,VqlfNumk0cg--200,2. A quizor A competition
85,85,85,VqlfNumk0cg--201," and 3, a test or examination. Be sure to thank your..."
86,86,86,VqlfNumk0cg--202,partner when she or he wishes you in turn.
87,87,87,VqlfNumk0cg--203,You may also look up a telephone directory.
88,88,88,VqlfNumk0cg--204,or go to a post office.
